sampling_type,flag_country,year,trip_code,harbour,n_sets_hauls,days_at_sea,sampling_method,aggregation_level,station_number,duration_fishing_operation,initial_latitude,initial_longitude,final_latitude,final_longitude,depth_fishing_operation,water_depth,catch_registration,species_registration,date,area,fishing_activity_category_national,fishing_activity_category_eu_l6,species,catch_category,weight,subsample_weight,sex,maturity_method,maturity_scale,maturity_stage,ageing_method,age,length_code,length_class,number_at_length,commercial_size_category_scale,commercial_size_category,fish_id,individual_weight
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2c,OWR,0,scm,260,1,ITA,LI,6013749,1081
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2c,OWR,0,scm,275,1,ITA,LI,6013746,1384
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,295,1,ITA,LI,6013759,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,295,1,ITA,LI,6013752,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,275,1,ITA,LI,6013753,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2c,OWR,0,scm,240,1,ITA,LI,6013750,931
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,300,1,ITA,LI,6013751,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,3,OWR,0,scm,235,1,ITA,LI,6013741,969
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2c,OWR,0,scm,225,1,ITA,LI,6013743,82
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,245,1,ITA,LI,6013757,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,305,1,ITA,LI,6013758,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,F,Macr,Medits scales,1,OWR,0,scm,265,1,ITA,LI,6013730,1374
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,F,Macr,Medits scales,1,OWR,0,scm,270,1,ITA,LI,6013731,1312
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,235,1,ITA,LI,6013760,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,285,1,ITA,LI,6013761,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,275,1,ITA,LI,6013762,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,240,1,ITA,LI,6013763,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,260,1,ITA,LI,6013764,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,245,1,ITA,LI,6013754,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,305,1,ITA,LI,6013755,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,320,1,ITA,LI,6013767,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,280,1,ITA,LI,6013756,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,3,OWR,0,scm,245,1,ITA,LI,6013742,1095
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,F,Macr,Medits scales,1,OWR,0,scm,285,1,ITA,LI,6013733,1817
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,F,Macr,Medits scales,2a,OWR,0,scm,305,1,ITA,LI,6013734,1895
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2b,OWR,0,scm,255,1,ITA,LI,6013735,1156
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,F,Macr,Medits scales,1,OWR,0,scm,265,1,ITA,LI,6013732,1432
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,280,1,ITA,LI,6013765,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,N,Macr,Medits scales,0,OWR,0,scm,280,1,ITA,LI,6013766,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,3,OWR,0,scm,250,1,ITA,LI,6013740,1121
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2b,OWR,0,scm,235,1,ITA,LI,6013736,977
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,F,Macr,Medits scales,2a,OWR,0,scm,320,1,ITA,LI,6013768,2079
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2b,OWR,0,scm,235,1,ITA,LI,6013737,935
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,4a,OWR,0,scm,285,1,ITA,LI,6013739,1646
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,4a,OWR,0,scm,270,1,ITA,LI,6013738,1486
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,M,Macr,Medits scales,2b,OWR,0,scm,200,1,ITA,LII,6013785,568
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,M,Macr,Medits scales,2b,OWR,0,scm,205,1,ITA,LII,6013784,618
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,F,Macr,Medits scales,1,OWR,0,scm,210,1,ITA,LII,6013781,607
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,F,Macr,Medits scales,1,OWR,0,scm,195,1,ITA,LII,6013786,49
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,M,Macr,Medits scales,2a,OWR,0,scm,190,1,ITA,LII,6013787,493
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,N,Macr,Medits scales,0,OWR,0,scm,210,1,ITA,LII,6013788,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,M,Macr,Medits scales,2b,OWR,0,scm,205,1,ITA,LII,6013782,558
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,M,Macr,Medits scales,2c,OWR,0,scm,205,1,ITA,LII,6013783,571
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,N,Macr,Medits scales,0,OWR,0,scm,215,1,ITA,LII,6013791,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,N,Macr,Medits scales,0,OWR,0,scm,220,1,ITA,LII,6013792,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,N,Macr,Medits scales,0,OWR,0,scm,195,1,ITA,LII,6013789,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,N,Macr,Medits scales,0,OWR,0,scm,195,1,ITA,LII,6013790,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,M,Macr,Medits scales,2b,OWR,0,scm,210,1,ITA,LII,6013778,694
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,M,Macr,Medits scales,2b,OWR,0,scm,210,1,ITA,LII,6013779,641
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,N,Macr,Medits scales,0,OWR,0,scm,195,1,ITA,LII,6013795,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,N,Macr,Medits scales,0,OWR,0,scm,195,1,ITA,LII,6013796,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013797,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,67600,2600,M,Macr,Medits scales,3,OWR,0,scm,240,1,ITA,LII,6013769,932
